"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D36,D33,D10,D23,D17,D5,D37,D1,D4,D18,D12,D7,D22,D6,D2,D14,D11,D19,D39,D13,D31,D40,D16,D15,D29,D8,D38,D26,D27,D24,D9,D30,D25,D34,D32,D21,D28,D35,D20,D3";"D_SOD-523";40;"D_Small";;;
2;"SW2,SW32,SW10,SW20,SW8,SW19,SW38,SW15,SW21,SW1,SW36,SW29,SW25,SW31,SW11,SW13,SW4,SW34,SW17,SW18,SW33,SW40,SW30,SW7,SW14,SW12,SW5,SW3,SW24,SW16,SW28,SW37,SW9,SW39,SW26,SW22,SW23,SW27,SW35,SW6";"SW_SPST_EVQP0";40;"SW_Push";;;
3;"SW41";"SW_SPST_SKQG_WithoutStem";1;"BOOT";;;
4;"C10,C3,C9";"C_0402_1005Metric";3;"1uF";;;
5;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
6;"H3,H6,H2,H1,H4,H7,H8,H5";"m1.6_hole";8;"MountingHole_Pad";;;
7;"C7,C1,C5,C6,C4";"C_0402_1005Metric";5;"100nF";;;
8;"R1";"R_0402_1005Metric";1;"10k";;;
9;"C2";"C_0402_1005Metric";1;"4.7uF";;;
10;"SW42";"SW_SPST_SKQG_WithoutStem";1;"RST";;;
11;"J1";"Mid_Mount-USB_C";1;"USB2_C_Receptacle";;;
12;"R2,R3";"R_0402_1005Metric";2;"5.1k";;;
13;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072C8Tx";;;
14;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
15;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
